IAV_L2FC,HPIV3_L2FC,RSV_L2FC,SARS-CoV-2(Calu-3)_L2FC,SARS-CoV-2(A549)_L2FC,SARS-CoV-2(A549-ACE2),SARS-CoV-2(A549-ACE2)-Ruxolitinib_L2FC,padj_IAV,padj_HPIV3,padj_RSV,padj_SARS-CoV-2(Calu-3),padj_SARS-CoV-2(A549),padj_SARS-CoV-2(A549-ACE2),padj_SARS-CoV-2(A549-ACE2)-Ruxolitinib
FGG,0.30995,-0.204966304,-1.846026744,0.83203,0.01969,0.007929272,-3.553376329,0.737370759,0.704500467,4.59E-09,0,1,1,2.87E-33
OXTR,0.07039,1.034579209,1.87849889,1.05265,1.03261,-0.479983549,-0.143623908,0.926459684,0.002754865,2.45E-11,1.87E-05,1.37E-09,0.001387443,0.319217685
TIMP2,0.25016,0.143098341,0.816195166,0.08952,0.54368,-0.992215469,-1.777678555,0.602379812,0.513859312,4.63E-07,0.268239563,2.43E-11,4.33E-25,5.61E-72
SOX2,-0.87894,-0.28165246,-0.982951748,0.73286,-2.24664,1.56610787,1.71720032,0.222145105,0.660853308,1,0,4.03E-11,6.86E-06,1.43E-07
FASN,-0.29197,-0.693207464,0.105428248,-1.51756,-2.25441,-1.38037753,-1.188185869,1,0.104876828,0.636740319,1.34E-22,0,4.41E-32,4.99E-15
KRT8,-0.19131,-1.261183139,-1.212362243,-1.05693,-2.22285,-1.509766932,-1.934674802,0.722703134,1,1,2.10E-16,4.62E-260,1,1.32E-90
PADI2,0.11671,-1.321118011,-2.237879915,0.72723,0.13005,-1.045188144,0.198910555,0.890037217,0.00062504,2.50E-08,0.04212044,1,0.005593237,0.59060082
RTN4RL1,-0.57146,-0.962269452,-2.073284922,-0.20286,-1.30855,-1.501339903,-0.968392445,0.477059453,0.073572193,7.12E-05,0,1.52E-08,8.65E-05,0.013846477
KCNJ11,-0.63268,-1.225910074,-2.338024609,-0.16802,0.01407,0.113749361,0.503555401,1,0.056052185,9.38E-07,0.582018417,0.956861781,1,0.198337681
IL17RB,0.45204,-1.01032551,-3.030570611,-1.75002,-1.50578,-1.379279503,-0.887722633,0.576495303,0.031776154,2.40E-08,7.30E-33,1.19E-08,0.000509065,0.007195908
IFI16,0.49394,4.689383373,4.600666795,3.09168,1.28768,3.253536042,-0.326664488,0.550480311,2.95E-33,9.60E-50,3.55E-108,3.33E-07,1,0.249325109
