log2FoldChange,padj
TIE1,-0.2132756802,0.8675709294
MPL,-0.595596499,NaN
CDC20,-0.7640682784,NaN
ELOVL1,-1.0494729891,0.3411260425
MED8,-0.6833529868,0.5430338334
SZT2,-1.7106271802,0.1295072065
HYI,NaN,NaN
PTPRF,-0.8492593963,0.4539229233
KDM4A,-1.1762237667,0.3493295818
KDM4A-AS1,-0.3269962684,NaN
ST3GAL3,-3.1209052938,0.0196405318
ARTN,-1.0374258798,NaN
IPO13,-0.8296468184,0.5061223256
DPH2,-2.1796821678,0.0510966548
ATP6V0B,-0.489463398,0.610897258
B4GALT2,-3.4069347221,0.0089571879
CCDC24,-1.3130989083,NaN
SLC6A9,-0.9071791992,0.5812460879
KLF17,-0.8947470649,NaN
DMAP1,-0.0968291134,0.9646609822
ERI3,-1.1829211403,0.3583702805
RNF220,-1.3242042571,0.2669835905
MIR5584,NaN,NaN
TMEM53,-1.2948207123,NaN
C1orf228,-1.4563761656,NaN
KIF2C,0.4381529762,NaN
RPS8,-0.6901349331,0.373966869
SNORD55,-1.0966147748,NaN
SNORD46,-0.1141508788,NaN
SNORD38A,-0.7828261388,NaN
SNORD38B,-1.8192704799,NaN
BEST4,-0.5318088947,NaN
PLK3,-0.7374206932,0.5236899073
TCTEX1D4,-0.3908916371,NaN
BTBD19,-0.8960347391,NaN
PTCH2,1.3376326893,NaN
EIF2B3,-0.0339148517,0.984047851
HECTD3,1.5939445776,0.0567879861
UROD,-3.105976838,0.0111179625
ZSWIM5,-1.8225616136,NaN
LOC400752,-0.1359920971,NaN
HPDL,-0.5781282064,NaN
MUTYH,-1.228867451,0.3549978777
TOE1,-3.150063414,0.0185174953
TESK2,-2.1909377465,NaN
CCDC163P,-0.1351741296,NaN
MMACHC,-0.5219295129,NaN
PRDX1,-0.6299377112,0.5395439365
AKR1A1,-1.5058018181,0.131027043
NASP,-2.660343269,0.0033049597
CCDC17,-1.7678165388,NaN
GPBP1L1,-0.9886441285,0.4312450902
RPS15AP10,-0.5162038354,NaN
TMEM69,0.9261425328,0.386895018
IPP,-0.8202755289,NaN
MAST2,-2.6664640008,0.0272629658
PIK3R3,-1.6256410095,0.2533183773
TSPAN1,1.2208573206,0.3726561198
POMGNT1,-1.0586753214,0.3054218074
LURAP1,-0.6625767707,NaN
RAD54L,-0.9763448037,NaN
LRRC41,-0.1860126967,0.8690463474
UQCRH,-0.1521296209,0.8863808097
NSUN4,-3.3849908982,0.0096281041
FAAH,-2.1521993399,NaN
LOC729041,-0.5295783225,NaN
DMBX1,-0.0472189909,NaN
MKNK1-AS1,-0.3525554618,NaN
KNCN,NaN,NaN
MKNK1,-0.0008881168,0.9996082207
MOB3C,-2.1711161444,0.0417135127
